POS,PLAYER,Mat ,Inns ,Ov ,Runs ,Wkts ,Maid ,Avg ,Econ ,SR ,4w ,5w 
1,Trent Boult ,15,15,57.2,457,25,3,18.28,7.97,13.76,1,0
2,Jasprit Bumrah ,15,15,60,404,27,2,14.96,6.73,13.33,2,0
3,Deepak Chahar ,14,14,52,396,12,2,33,7.61,26,0,0
4,Shivam Mavi ,8,8,26,212,9,2,23.55,8.15,17.33,0,0
5,Mohammed Siraj ,9,9,27.1,236,11,2,21.45,8.68,14.81,0,0
6,Rashid Khan ,16,16,64,344,20,1,17.2,5.37,19.2,0,0
7,Ravi Bishnoi ,14,14,51,376,12,1,31.33,7.37,25.5,0,0
8,Navdeep Saini ,13,13,45.4,379,6,1,63.16,8.29,45.66,0,0
9,Sheldon Cottrell ,6,6,20,176,6,1,29.33,8.8,20,0,0
10,Washington Sundar ,15,15,50,298,8,1,37.25,5.96,37.5,0,0
11,Chris Morris ,9,9,31.4,210,11,1,19.09,6.63,17.27,1,0
12,T Natarajan ,16,16,62.5,504,16,1,31.5,8.02,23.56,0,0
13,Kagiso Rabada ,17,17,65.4,548,30,1,18.26,8.34,13.13,2,0
14,Arshdeep Singh ,8,8,24.5,218,9,1,24.22,8.77,16.55,0,0
,,,,,,,,,,,,
  ,,,,,,,,,,,,
