POS,PLAYER,Distance (m) 
1,Nicholas Pooran ,106
2,Nicholas Pooran ,105
3,Jofra Archer ,105
4,Sanju Samson ,102
5,MS Dhoni ,102
6,Shane Watson ,101
7,Nicholas Pooran ,100
8,Ambati Rayudu ,100
9,Aaron Finch ,100
10,Shreyas Iyer ,99
11,Chris Gayle ,99
12,Kieron Pollard ,98
13,Ravindra Jadeja ,98
14,Riyan Parag ,97
15,Marcus Stoinis ,97
16,AB de Villiers ,97
17,Axar Patel ,97
18,Jonny Bairstow ,97
19,Nicholas Pooran ,97
20,Kieron Pollard ,97
21,Kieron Pollard ,97
22,Nicholas Pooran ,96
23,Hardik Pandya ,96
24,Kieron Pollard ,96
25,Chris Gayle ,96
26,KL Rahul ,95
27,KL Rahul ,95
28,AB de Villiers ,95
29,Devdutt Padikkal ,95
30,Sanju Samson ,95
31,David Warner ,95
32,Axar Patel ,95
33,Nicholas Pooran ,94
34,Hardik Pandya ,94
35,Jos Buttler ,94
36,Nicholas Pooran ,94
37,Manish Pandey ,94
38,Sanju Samson ,94
39,Devdutt Padikkal ,94
40,Kieron Pollard ,93
41,Nitish Rana ,93
42,Manish Pandey ,93
43,Jos Buttler ,93
44,Ishan Kishan ,93
45,Kane Williamson ,93
46,Sanju Samson ,93
47,Sanju Samson ,92
48,MS Dhoni ,92
49,Hardik Pandya ,92
50,Nicholas Pooran ,92
51,Manish Pandey ,92
52,Marcus Stoinis ,92
53,Kieron Pollard ,92
54,Shane Watson ,91
55,Eoin Morgan ,91
56,Kieron Pollard ,91
57,Shreyas Iyer ,91
58,Shivam Dube ,91
59,Hardik Pandya ,91
60,Kieron Pollard ,91
61,Shreyas Iyer ,91
62,Nicholas Pooran ,91
63,Steve Smith ,91
64,Jofra Archer ,91
65,Virat Kohli ,91
66,David Warner ,91
67,Yashasvi Jaiswal ,91
68,Manish Pandey ,91
69,Nitish Rana ,90
70,Jonny Bairstow ,90
71,Krunal Pandya ,90
72,AB de Villiers ,90
73,AB de Villiers ,90
74,Jos Buttler ,90
75,Sanju Samson ,90
76,Vijay Shankar ,90
77,Ishan Kishan ,90
78,Ishan Kishan ,90
79,Rohit Sharma ,90
80,Sam Curran ,90
81,Marcus Stoinis ,90
82,Manish Pandey ,90
83,KL Rahul ,89
84,Nicholas Pooran ,89
85,Jos Buttler ,89
86,KL Rahul ,89
87,Tom Curran ,89
88,Manish Pandey ,89
89,Aaron Finch ,89
90,Manish Pandey ,89
91,Ambati Rayudu ,89
92,KL Rahul ,89
93,AB de Villiers ,89
94,Rahul Tewatia ,89
95,Rishabh Pant ,89
96,Eoin Morgan ,89
97,Sanju Samson ,89
98,Sam Curran ,89
99,,
,Ajinkya Rahane ,89
100,Nicholas Pooran ,89
  ,,
