POS,PLAYER,Mat ,Inns ,Ov ,Runs,Wkts ,Dots ,Avg ,Econ ,SR ,4w ,5w 
1,Jofra Archer ,14,14,55.4,365,20,175,18.25,6.55,16.7,0,0
2,Jasprit Bumrah ,15,15,60,404,27,175,14.96,6.73,13.33,2,0
3,Rashid Khan ,16,16,64,344,20,168,17.2,5.37,19.2,0,0
4,Anrich Nortje ,16,16,61,512,22,160,23.27,8.39,16.63,0,0
5,Trent Boult ,15,15,57.2,457,25,157,18.28,7.97,13.76,1,0
6,Kagiso Rabada ,17,17,65.4,548,30,156,18.26,8.34,13.13,2,0
7,Pat Cummins ,14,14,52,409,12,140,34.08,7.86,26,1,0
8,Mohammad Shami ,14,14,53.4,460,20,140,23,8.57,16.1,0,0
9,T Natarajan ,16,16,62.5,504,16,136,31.5,8.02,23.56,0,0
10,Ravi Bishnoi ,14,14,51,376,12,122,31.33,7.37,25.5,0,0
11,Sandeep Sharma ,13,13,52,374,14,119,26.71,7.19,22.28,0,0
12,Yuzvendra Chahal ,15,15,57.1,405,21,118,19.28,7.08,16.33,0,0
13,Deepak Chahar ,14,14,52,396,12,118,33,7.61,26,0,0
14,Navdeep Saini ,13,13,45.4,379,6,116,63.16,8.29,45.66,0,0
15,Washington Sundar ,15,15,50,298,8,114,37.25,5.96,37.5,0,0
16,Varun Chakravarthy ,13,13,52,356,17,111,20.94,6.84,18.35,0,1
17,Rahul Chahar ,15,15,53,433,15,104,28.86,8.16,21.2,0,0
18,Ravichandran Ashwin ,15,15,51,391,13,101,30.07,7.66,23.53,0,0
19,Axar Patel ,15,15,51,327,9,100,36.33,6.41,34,0,0
20,Krunal Pandya ,16,16,50.1,380,6,100,63.33,7.57,50.16,0,0
21,Rahul Tewatia ,14,14,46,326,10,95,32.6,7.08,27.6,0,0
22,Chris Morris ,9,9,31.4,210,11,91,19.09,6.63,17.27,1,0
23,Sam Curran ,14,13,42,344,13,91,26.46,8.19,19.38,0,0
24,Shreyas Gopal ,14,14,50,427,10,86,42.7,8.54,30,0,0
25,Kartik Tyagi ,10,10,38.1,367,9,83,40.77,9.61,25.44,0,0
26,James Pattinson ,10,10,35.3,320,11,78,29.09,9.01,19.36,0,0
27,Mohammed Siraj ,9,9,27.1,236,11,77,21.45,8.68,14.81,0,0
28,Murugan Ashwin ,9,9,31.3,235,10,70,23.5,7.46,18.9,0,0
29,Nathan Coulter-Nile ,7,7,26,206,5,69,41.2,7.92,31.2,0,0
30,Shardul Thakur ,9,9,32.2,275,10,68,27.5,8.5,19.4,0,0
31,Sunil Narine ,10,10,38,302,5,67,60.4,7.94,45.6,0,0
32,Shivam Mavi ,8,8,26,212,9,63,23.55,8.15,17.33,0,0
33,Khaleel Ahmed ,7,7,25.4,242,8,62,30.25,9.42,19.25,0,0
34,Chris Jordan ,9,9,31.3,304,9,62,33.77,9.65,21,0,0
35,Sheldon Cottrell ,6,6,20,176,6,59,29.33,8.8,20,0,0
36,Jason Holder ,7,7,28,233,14,58,16.64,8.32,12,0,0
37,Ravindra Jadeja ,14,13,36.2,318,6,56,53,8.75,36.33,0,0
38,Arshdeep Singh ,8,8,24.5,218,9,56,24.22,8.77,16.55,0,0
39,Marcus Stoinis ,17,13,29.4,283,13,50,21.76,9.53,13.69,0,0
40,Isuru Udana ,10,10,29,282,8,49,35.25,9.72,21.75,0,0
41,Lockie Ferguson ,5,5,19.5,148,6,48,24.66,7.46,19.83,0,0
42,Kamlesh Nagarkoti ,10,9,26,231,5,46,46.2,8.88,31.2,0,0
43,Bhuvneshwar Kumar ,4,4,14.1,99,3,40,33,6.98,28.33,0,0
44,Andre Russell ,10,7,18,175,6,39,29.16,9.72,18,0,0
45,Glenn Maxwell ,13,7,21,169,3,37,56.33,8.04,42,0,0
46,Piyush Chawla ,7,7,21,191,6,37,31.83,9.09,21,0,0
47,Dwayne Bravo ,6,6,21,180,6,35,30,8.57,21,0,0
48,Prasidh Krishna ,6,6,17.3,164,4,35,41,9.37,26.25,0,0
49,Jaydev Unadkat ,7,7,23,228,4,35,57,9.91,34.5,0,0
50,Lungi Ngidi ,4,4,16,167,9,35,18.55,10.43,10.66,0,0
51,Ankit Rajpoot ,6,6,17,199,2,34,99.5,11.7,51,0,0
52,Kieron Pollard ,16,11,21,190,4,33,47.5,9.04,31.5,0,0
53,Vijay Shankar ,7,5,13.1,82,4,31,20.5,6.22,19.75,0,0
54,Josh Hazlewood ,3,3,10,64,1,31,64,6.4,60,0,0
55,Shahbaz Nadeem ,7,7,22,178,5,31,35.6,8.09,26.4,0,0
56,Tushar Deshpande ,5,5,17,192,3,29,64,11.29,34,0,0
57,Karn Sharma ,5,5,19,165,5,27,33,8.68,22.8,0,0
58,Jimmy Neesham ,5,5,15,148,2,26,74,9.86,45,0,0
59,Tom Curran ,5,5,18.1,208,3,25,69.33,11.44,36.33,0,0
60,Ben Stokes ,8,6,15,154,2,24,77,10.26,45,0,0
61,Dale Steyn ,3,3,11.4,133,1,24,133,11.4,70,0,0
62,Harshal Patel ,5,5,15,134,3,23,44.66,8.93,30,0,0
63,Daniel Sams ,3,3,12,114,0,22,- ,9.5,- ,0,0
64,Varun Aaron ,3,3,8,94,0,21,- ,11.75,- ,0,0
65,Adam Zampa ,3,3,11,92,2,20,46,8.36,33,0,0
66,Imran Tahir ,3,3,11,76,1,19,76,6.9,66,0,0
67,Kuldeep Yadav ,5,4,12,92,1,19,92,7.66,72,0,0
68,Amit Mishra ,3,3,10,72,3,17,24,7.2,20,0,0
69,Shivam Dube ,11,5,9,73,4,14,18.25,8.11,13.5,0,0
70,Umesh Yadav ,2,2,7,83,0,14,- ,11.85,- ,0,0
71,Jayant Yadav ,2,2,7,43,1,13,43,6.14,42,0,0
72,Mitchell Santner ,2,2,7,53,2,12,26.5,7.57,21,0,0
73,Pravin Dubey ,3,3,8,72,0,12,- ,9,- ,0,0
74,Mujeeb Ur Rahman ,2,2,8,83,0,12,- ,10.37,- ,0,0
75,Abhishek Sharma ,8,6,10,91,2,11,45.5,9.1,30,0,0
76,Krishnappa Gowtham ,2,2,8,84,1,11,84,10.5,48,0,0
77,Shahbaz Ahmed ,2,2,6,44,2,9,22,7.33,18,0,0
78,Abdul Samad ,12,3,7,96,1,9,96,13.71,42,0,0
79,Moeen Ali ,3,3,5,42,1,8,42,8.4,30,0,0
80,Sandeep Warrier ,1,1,3,34,0,8,- ,11.33,- ,0,0
81,Avesh Khan ,1,1,4,42,0,7,- ,10.5,- ,0,0
82,Mohit Sharma ,1,1,4,45,1,7,45,11.25,24,0,0
83,Dhawal Kulkarni ,1,1,3,22,0,6,- ,7.33,- ,0,0
84,Chris Green ,1,1,2.5,24,0,6,- ,8.47,- ,0,0
85,Harpreet Brar ,1,1,4,41,0,6,- ,10.25,- ,0,0
86,Siddarth Kaul ,1,1,4,64,2,6,32,16,12,0,0
87,Mohammad Nabi ,1,1,4,23,0,5,- ,5.75,- ,0,0
88,Basil Thampi ,1,1,4,46,1,5,46,11.5,24,0,0
89,Andrew Tye ,1,1,4,50,1,5,50,12.5,24,0,0
90,Ishant Sharma ,1,1,3,26,0,4,- ,8.66,- ,0,0
91,Monu Kumar ,1,1,2,20,0,4,- ,10,- ,0,0
92,Riyan Parag ,12,2,2,27,0,3,- ,13.5,- ,0,0
93,Deepak Hooda ,7,1,1,9,0,2,- ,9,- ,0,0
94,Mitchell Marsh ,1,1,0.4,6,0,1,- ,9,- ,0,0
,,,,,,,,,,,,
  ,,,,,,,,,,,,
